region,degree,betweenness,closeness,pagerank,system,condition
Supp_Motor_Area_R,83,0.0022177078892724324,0.9368421052631579,0.014079563195839064,Subcortical,ADHD
Olfactory_L,58,0.0012925585643010662,0.7416666666666667,-0.0024329944235114203,Subcortical,ADHD
Olfactory_R,65,0.00136023944535273,0.7876106194690266,-0.004230177649813649,Subcortical,ADHD
Frontal_Sup_Medial_L,77,0.001673033437059171,0.8811881188118812,0.01054743935827187,ExecutiveControl,ADHD
Frontal_Sup_Medial_R,82,0.001979162324333814,0.9270833333333334,0.013972554225806618,ExecutiveControl,ADHD
Frontal_Med_Orb_L,25,0.001227044213084352,0.5816993464052288,0.004045614396039702,Subcortical,ADHD
Frontal_Med_Orb_R,82,0.0024457491269702708,0.9270833333333334,0.01133923362543527,Subcortical,ADHD
Rectus_L,26,0.0007103491108491417,0.5855263157894737,0.002014566159214581,Subcortical,ADHD
Rectus_R,64,0.0012906558306972464,0.7807017543859649,-0.0037703959745746096,Subcortical,ADHD
Insula_L,83,0.0022177078892724324,0.9368421052631579,0.013075798653141877,Salience,ADHD
